,Northeast,West,South,Midwest,Income Index
Northeast,1.0,0.9949200217569648,0.9962999623428133,0.9965737623780043,0.953745736704843
West,0.9949200217569648,1.0,0.9993340683510344,0.999218171536723,0.9572534117223871
South,0.9962999623428133,0.9993340683510344,1.0,0.9999192995492369,0.9561741346294915
Midwest,0.9965737623780043,0.999218171536723,0.9999192995492369,1.0,0.9572123000808316
Income Index,0.953745736704843,0.9572534117223871,0.9561741346294915,0.9572123000808316,1.0
