Region,RegionName,StateName,CountyName,CityName,ForecastedDate,ForecastYoYPctChange
Msa,"Bozeman, MT",MT,,,2022-04-30,11.1
Msa,"Bradford, PA",PA,,,2022-04-30,4.2
Msa,"Brainerd, MN",MN,,,2022-04-30,8.6
Msa,"Branson, MO",MO,,,2022-04-30,7.8
Msa,"Breckenridge, CO",CO,,,2022-04-30,17.0
Msa,"Bremerton, WA",WA,,,2022-04-30,14.7
Msa,"Brenham, TX",TX,,,2022-04-30,4.3
Msa,"Brevard, NC",NC,,,2022-04-30,9.0
Msa,"Brookhaven, MS",MS,,,2022-04-30,7.0
Msa,"Brookings, OR",OR,,,2022-04-30,8.6
Msa,"Brookings, SD",SD,,,2022-04-30,6.2
Msa,"Brownsville, TX",TX,,,2022-04-30,14.1
Msa,"Brownwood, TX",TX,,,2022-04-30,5.9
Msa,"Brunswick, GA",GA,,,2022-04-30,9.3
Msa,"Bucyrus, OH",OH,,,2022-04-30,8.4
Msa,"Buffalo, NY",NY,,,2022-04-30,11.6
Msa,"Burley, ID",ID,,,2022-04-30,11.3
Msa,"Burlington, IA",IA,,,2022-04-30,5.2
Msa,"Burlington, NC",NC,,,2022-04-30,10.2
Msa,"Burlington, VT",VT,,,2022-04-30,11.1
Msa,"Butte, MT",MT,,,2022-04-30,8.2
Msa,"Cadillac, MI",MI,,,2022-04-30,9.6
Msa,"Calhoun, GA",GA,,,2022-04-30,5.5
Msa,"California-Lexington Park, MD",MD,,,2022-04-30,11.6
Msa,"Cambridge, MD",MD,,,2022-04-30,6.3
Msa,"Cambridge, OH",OH,,,2022-04-30,6.9
Msa,"Camden, AR",AR,,,2022-04-30,4.4
Msa,"Campbellsville, KY",KY,,,2022-04-30,5.6
Msa,"Canton, IL",IL,,,2022-04-30,4.0
Msa,"Canton, OH",OH,,,2022-04-30,11.9
Msa,"Cape Girardeau, MO",MO,,,2022-04-30,7.9
Msa,"Carbondale, IL",IL,,,2022-04-30,4.1
Msa,"Carson City, NV",NV,,,2022-04-30,17.2
Msa,"Casper, WY",WY,,,2022-04-30,6.6
Msa,"Cañon City, CO",CO,,,2022-04-30,9.3
Msa,"Cedar City, UT",UT,,,2022-04-30,14.2
Msa,"Cedar Rapids, IA",IA,,,2022-04-30,9.2
Msa,"Cedartown, GA",GA,,,2022-04-30,7.6
Msa,"Celina, OH",OH,,,2022-04-30,7.6
Msa,"Centralia, WA",WA,,,2022-04-30,19.7
Msa,"Chambersburg, PA",PA,,,2022-04-30,13.9
Msa,"Champaign-Urbana, IL",IL,,,2022-04-30,8.7
Msa,"Charleston, IL",IL,,,2022-04-30,7.7
Msa,"Charleston, SC",SC,,,2022-04-30,12.9
Msa,"Charleston, WV",WV,,,2022-04-30,14.9
Msa,"Charlotte, NC",NC,,,2022-04-30,14.2
Msa,"Charlottesville, VA",VA,,,2022-04-30,11.5
Msa,"Chattanooga, TN",TN,,,2022-04-30,9.8
Msa,"Cheyenne, WY",WY,,,2022-04-30,4.4
Msa,"Chicago, IL",IL,,,2022-04-30,10.2
Msa,"Chico, CA",CA,,,2022-04-30,10.0
Msa,"Chillicothe, OH",OH,,,2022-04-30,7.8
Msa,"Cincinnati, OH",OH,,,2022-04-30,11.7
Msa,"Claremont, NH",NH,,,2022-04-30,10.1
Msa,"Clarksburg, WV",WV,,,2022-04-30,3.2
Msa,"Clarksville, TN",TN,,,2022-04-30,10.5
Msa,"Clearlake, CA",CA,,,2022-04-30,15.6
Msa,"Cleveland, OH",OH,,,2022-04-30,12.0
Msa,"Cleveland, TN",TN,,,2022-04-30,9.7
Msa,"Clewiston, FL",FL,,,2022-04-30,9.4
Msa,"Clinton, IA",IA,,,2022-04-30,0.7
Msa,"Clovis, NM",NM,,,2022-04-30,5.4
Msa,"Coeur d'Alene, ID",ID,,,2022-04-30,17.3
Msa,"Coffeyville, KS",KS,,,2022-04-30,5.6
Msa,"Coldwater, MI",MI,,,2022-04-30,6.9
Msa,"College Station, TX",TX,,,2022-04-30,4.4
Msa,"Colorado Springs, CO",CO,,,2022-04-30,13.5
Msa,"Columbia, MO",MO,,,2022-04-30,11.7
Msa,"Columbia, SC",SC,,,2022-04-30,10.1
Msa,"Columbus, GA",GA,,,2022-04-30,10.4
Msa,"Columbus, IN",IN,,,2022-04-30,11.3
Msa,"Columbus, MS",MS,,,2022-04-30,4.3
Msa,"Columbus, NE",NE,,,2022-04-30,6.7
Msa,"Columbus, OH",OH,,,2022-04-30,10.7
Msa,"Concord, NH",NH,,,2022-04-30,9.5
Msa,"Connersville, IN",IN,,,2022-04-30,8.8
Msa,"Cookeville, TN",TN,,,2022-04-30,10.9
Msa,"Coos Bay, OR",OR,,,2022-04-30,12.0
Msa,"Cordele, GA",GA,,,2022-04-30,4.6
Msa,"Corinth, MS",MS,,,2022-04-30,8.8
Msa,"Cornelia, GA",GA,,,2022-04-30,4.7
Msa,"Corning, NY",NY,,,2022-04-30,13.4
Msa,"Corpus Christi, TX",TX,,,2022-04-30,6.9
Msa,"Corsicana, TX",TX,,,2022-04-30,6.6
Msa,"Cortland, NY",NY,,,2022-04-30,7.1
Msa,"Corvallis, OR",OR,,,2022-04-30,6.5
Msa,"Coshocton, OH",OH,,,2022-04-30,7.3
Msa,"Craig, CO",CO,,,2022-04-30,6.5
Msa,"Crawfordsville, IN",IN,,,2022-04-30,7.0
Msa,"Crescent City, CA",CA,,,2022-04-30,6.0
Msa,"Crestview-Fort Walton Beach-Destin, FL",FL,,,2022-04-30,13.7
Msa,"Crossville, TN",TN,,,2022-04-30,18.7
Msa,"Cullman, AL",AL,,,2022-04-30,8.0
Msa,"Cullowhee, NC",NC,,,2022-04-30,9.7
Msa,"Cumberland, MD",MD,,,2022-04-30,3.9
Msa,"Dallas-Fort Worth, TX",TX,,,2022-04-30,15.1
Msa,"Dalton, GA",GA,,,2022-04-30,14.0
Msa,"Danville, IL",IL,,,2022-04-30,4.4
Msa,"Danville, KY",KY,,,2022-04-30,4.6
Msa,"Danville, VA",VA,,,2022-04-30,5.8
Msa,"Daphne, AL",AL,,,2022-04-30,12.1
Msa,"Davenport, IL",IL,,,2022-04-30,5.7
Msa,"Dayton, OH",OH,,,2022-04-30,12.0
Msa,"Dayton, TN",TN,,,2022-04-30,5.5
Msa,"Daytona Beach, FL",FL,,,2022-04-30,14.5
Msa,"DeRidder, LA",LA,,,2022-04-30,5.1
Msa,"Decatur, AL",AL,,,2022-04-30,10.7
Msa,"Decatur, IL",IL,,,2022-04-30,9.8
Msa,"Decatur, IN",IN,,,2022-04-30,7.2
Msa,"Defiance, OH",OH,,,2022-04-30,7.3
Msa,"Del Rio, TX",TX,,,2022-04-30,5.7
Msa,"Deming, NM",NM,,,2022-04-30,7.5
Msa,"Denver, CO",CO,,,2022-04-30,13.6
Msa,"Des Moines, IA",IA,,,2022-04-30,10.4
Msa,"Detroit, MI",MI,,,2022-04-30,9.9
Msa,"Dickinson, ND",ND,,,2022-04-30,3.0
Msa,"Dixon, IL",IL,,,2022-04-30,4.2
Msa,"Dodge City, KS",KS,,,2022-04-30,6.4
Msa,"Dothan, AL",AL,,,2022-04-30,8.3
Msa,"Douglas, GA",GA,,,2022-04-30,5.5
Msa,"Dover, DE",DE,,,2022-04-30,10.3
Msa,"DuBois, PA",PA,,,2022-04-30,5.6
Msa,"Dublin, GA",GA,,,2022-04-30,4.4
Msa,"Dubuque, IA",IA,,,2022-04-30,10.1
Msa,"Duluth, MN",MN,,,2022-04-30,2.8
Msa,"Dumas, TX",TX,,,2022-04-30,6.6
Msa,"Duncan, OK",OK,,,2022-04-30,5.5
Msa,"Dunn, NC",NC,,,2022-04-30,10.2
Msa,"Durango, CO",CO,,,2022-04-30,15.8
Msa,"Durant, OK",OK,,,2022-04-30,6.4
Msa,"Durham, NC",NC,,,2022-04-30,13.0
Msa,"Dyersburg, TN",TN,,,2022-04-30,4.4
Msa,"Eagle Pass, TX",TX,,,2022-04-30,5.4
Msa,"East Stroudsburg, PA",PA,,,2022-04-30,20.9
